,PRODUCT,PROD_LVL,SPECIALTY,SUB_SPECIALTY,SP_SOURCE,ds,INDICATION,MARKET_FLAG,LEVEL_0_MARKET_FLAG,BIOSIMILAR_MOLECULE,CLASS,METRIC,COMPETITIVE_RX,TOTAL_RX,ALLOCATED_WITHOUT_FDAP_RX,ALLOCATED_WITH_FDAP_RX
104293,Brand2,1,NP,OTHERS,PHARMACY,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class1,MOTRX,,563.9629,,
104362,Brand14,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class2,NBRX,7.6614,7.6614,,
104363,Brand14,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class2,MOTRX,143.0986,143.0986,,
104452,Brand14,1,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Not Available,Not Available,Not Available,Class2,NBRX,,1.2285,,
104462,Brand42,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class5,MOTRX,,4.6795,,
104601,Brand21,1,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class1,TRX,36.3521,36.3521,,
104629,Brand29,1,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,NBRX,,15.9395,,
104693,Brand28,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,1.6908,,
104815,Brand33,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,0.0,,
104890,Brand11,1,NP,OTHERS,PHARMACY,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class1,TRX,,1.4685,,
104952,Brand9,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,1.4091,,
105005,Brand29,1,OTHERS,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,MOTRX,,4840.9875,,
105064,Brand3,2,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Not Available,Not Available,Not Available,Class2,TRX,,99.1109,,
105132,Brand3,2,OTHERS,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class2,NBRX,,401.1851,,
105189,Brand3,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class2,NBRX,,1.4485,,
105204,Brand22,2,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Not Available,Not Available,Not Available,Class4,TRX,,10.8016,,
105208,Brand2,1,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,4.7301,,
105220,Brand6,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class3,TRX,,175.1199,,
105274,Brand3,1,NP,OTHERS,PHARMACY,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class2,MOTRX,,1.608,,
105473,Brand18,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,8.9805,,
105538,Brand21,1,OTHERS,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,15.2558,,
105555,Brand39,2,NP,OTHERS,PHARMACY,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class1,MOTRX,,35.9747,,
105582,Brand27,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,23.3797,,
105596,Brand3,1,NP,OTHERS,PHARMACY,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class2,NBRX,,0.0,,
105713,Brand26,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,22.5617,,
105714,Brand4,1,NP,OTHERS,PHARMACY,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class1,MOTRX,,5.7244,,
105721,Brand5,1,NP,OTHERS,PHARMACY,2024-02-02,Indication8,Not Available,Not Available,Not Available,Class3,MOTRX,,1.6336,,
105730,Brand5,1,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class3,MOTRX,,8.9856,,
105797,Brand14,2,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Not Available,Not Available,Not Available,Class2,TRX,,2.7847,,
105841,Brand41,1,NP,OTHERS,PHARMACY,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class5,MOTRX,,11.3391,,
105926,Brand11,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,1.5859,,
105934,Brand11,2,NP,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,75.3519,,
106110,Brand8,1,OTHERS,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,40.893,,
106142,Brand30,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,MOTRX,,0.0,,
106198,Brand11,1,NP,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,0.0,,
106256,Brand16,2,OTHERS,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,6.7979,,
106324,Brand14,2,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Not Available,Not Available,Not Available,Class2,NBRX,0.0,0.0,,
106364,Brand8,1,NP,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class1,NBRX,,0.0,,
106379,Brand30,1,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Not Available,Not Available,Not Available,Class4,MOTRX,,4.3378,,
106464,Brand5,2,PED,OTHERS,PHARMACY,2024-02-02,Indication7,Not Available,Not Available,Not Available,Class3,MOTRX,,5.5128,,
106504,Brand41,1,NP,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class5,NBRX,,0.0,,
106542,Brand18,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,1.0912,,
106602,Brand14,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class2,TRX,,12.2486,,
106749,Brand35,1,OTHERS,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,MOTRX,,11.1542,,
106751,Brand15,2,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Other Market,Other Market,Not Available,Class3,NBRX,2.0394,2.0394,2.35035748,2.419207015
106971,Brand19,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Other Market,Other Market,Not Available,Class1,NBRX,0.0,0.0,,
107395,Brand22,2,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Not Available,Not Available,Not Available,Class4,MOTRX,,4.3788,,
107441,Brand5,2,NP,OTHERS,PHARMACY,2024-02-02,Indication8,Not Available,Not Available,Not Available,Class3,MOTRX,,1.9613,,
107475,Brand14,1,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Not Available,Not Available,Not Available,Class2,TRX,,3.1286,,
107549,Brand14,2,NP,OTHERS,PHARMACY,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class2,NBRX,,0.0,,
107557,Brand11,2,OTHERS,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,181.2418,,
107698,Brand29,1,PED,OTHERS,PHARMACY,2024-02-02,Indication7,Not Available,Not Available,Not Available,Class4,NBRX,,1.3334,,
107732,Brand37,1,OTHERS,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class3,TRX,,1.7838,,
107738,Brand22,1,PED,OTHERS,PHARMACY,2024-02-02,Indication7,Not Available,Not Available,Not Available,Class4,MOTRX,,10.7483,,
108149,Brand4,1,NP,OTHERS,PHARMACY,2024-02-02,Indication8,Not Available,Not Available,Not Available,Class1,NBRX,,0.0,,
108225,Brand10,1,NP,OTHERS,PHARMACY,2024-02-02,Indication3,Not Available,Not Available,Not Available,Class1,NBRX,0.0,,,
108364,Brand28,2,NP,OTHERS,PHARMACY,2024-02-02,Indication1,IV Market,IV Market,Not Available,Class1,TRX,1.5611,,,
108512,Brand24,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class2,MOTRX,1.0006,,,
108556,Brand24,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Oral Market,Oral Market,Not Available,Class2,TRX,2955.5066,,,
108869,Brand15,2,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Other Market,Other Market,Not Available,Class3,MOTRX,1070.1869,,1213.049049,1255.656485
108883,Brand5,2,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Not Available,Not Available,Not Available,Class3,MOTRX,63.1351,,,
108941,Brand14,2,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Not Available,Not Available,Not Available,Class2,MOTRX,38.4435,,,
108946,Brand11,2,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Not Available,Not Available,Not Available,Class1,MOTRX,96.6949,,,
108959,Brand14,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class2,NBRX,1.7124,,,
108975,Brand24,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Oral Market,Oral Market,Not Available,Class2,MOTRX,3568.288,,,
109012,Brand28,2,NP,OTHERS,PHARMACY,2024-02-02,Indication1,IV Market,IV Market,Not Available,Class1,MOTRX,1.1442,,,
109024,Brand3,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class2,TRX,312.1526,,,
109147,Brand14,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Oral Market,Oral Market,Not Available,Class2,MOTRX,181.5421,,,
109171,Brand33,2,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Not Available,Not Available,Not Available,Class1,NBRX,0.0,,,
109291,Brand3,1,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Oral Market,Oral Market,Not Available,Class2,MOTRX,378.6396,,,
109310,Brand10,1,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Not Available,Not Available,Not Available,Class1,MOTRX,42.2752,,,
109336,Brand2,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Other Market,Not Available,Not Available,Class1,MOTRX,1805.4275,,,
109443,Brand6,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class3,NBRX,4.9792,,,5.906499724
109563,Brand14,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class2,MOTRX,181.5421,,,
109620,Brand11,2,NP,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class1,NBRX,90.4224,,,
109747,Brand9,2,NP,OTHERS,PHARMACY,2024-02-02,Indication1,IV Market,Not Available,Not Available,Class1,MOTRX,2.6723,,,
109809,Brand3,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Oral Market,Oral Market,Not Available,Class2,TRX,42.3812,,,
109888,Brand3,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class2,MOTRX,356.4621,,,
109895,Brand14,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Oral Market,Oral Market,Not Available,Class2,NBRX,0.0,,,
109896,Brand14,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Oral Market,Oral Market,Not Available,Class2,MOTRX,15.2491,,,
109955,Brand14,2,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Not Available,Not Available,Not Available,Class2,NBRX,0.0,,,
110073,Brand13,2,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Not Available,Not Available,Not Available,Class1,TRX,5.2778,,,
110075,Brand14,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Oral Market,Oral Market,Not Available,Class2,TRX,159.4198,,,
110195,Brand25,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class1,MOTRX,2.2862,,,
110209,Brand10,1,NP,OTHERS,PHARMACY,2024-02-02,Indication3,Not Available,Not Available,Not Available,Class1,NBRX,0.0,,,
110210,Brand10,1,NP,OTHERS,PHARMACY,2024-02-02,Indication3,Not Available,Not Available,Not Available,Class1,MOTRX,2.8682,,,
110268,Brand20,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class1,MOTRX,8.8762,,,
110292,Brand24,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Oral Market,Oral Market,Not Available,Class2,NBRX,47.8914,,,
110298,Brand11,1,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Other Market,Other Market,Not Available,Class1,TRX,16.5672,,,
110366,Brand10,1,NP,OTHERS,PHARMACY,2024-02-02,Indication3,Not Available,Not Available,Not Available,Class1,TRX,8.9677,,,
110379,Brand29,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Other Market,Other Market,Not Available,Class4,TRX,5.2027,,,
110429,Brand33,2,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Not Available,Not Available,Not Available,Class1,TRX,1.0265,,,
110443,Brand11,2,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Not Available,Not Available,Not Available,Class1,MOTRX,519.2167,,,
110481,Brand20,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class1,TRX,5.8857,,,
110556,Brand24,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Oral Market,Oral Market,Not Available,Class2,TRX,1.0006,,,
110614,Brand5,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class3,NBRX,55.9438,,,
110733,Brand10,1,NP,OTHERS,PHARMACY,2024-02-02,Indication3,Not Available,Not Available,Not Available,Class1,NBRX,1.258,,,
110777,Brand31,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class4,NBRX,9.0998,,,
110809,Brand24,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Oral Market,Oral Market,Not Available,Class2,TRX,803.9836,,,
110864,Brand18,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class1,MOTRX,8.9569,,,
110925,Brand9,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,IV Market,Not Available,Not Available,Class1,MOTRX,9.0259,,,
111129,Brand4,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Other Market,Other Market,Not Available,Class1,TRX,309.4695,,,
111149,Brand25,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class1,NBRX,1.0299,,,
111182,Brand3,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class2,NBRX,1.676,,,
111197,Brand15,2,PED,OTHERS,PHARMACY,2024-02-02,Indication6,Other Market,Other Market,Not Available,Class3,TRX,3846.9759,3846.9759,4365.041963,4515.718454
111294,Brand3,1,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Oral Market,Oral Market,Not Available,Class2,TRX,0.838,0.838,,
111297,Brand30,1,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Other Market,Other Market,Not Available,Class4,NBRX,35.1645,35.1645,,
111389,Brand5,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class3,NBRX,0.0,,,
111453,Brand22,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class4,MOTRX,98.9343,98.9343,,
111459,Brand15,2,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Other Market,Other Market,Not Available,Class3,NBRX,156.0634,156.0634,162.5755709,179.668485
111505,Brand3,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class2,MOTRX,1190.0368,1190.0368,,
111546,Brand11,2,NP,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class1,NBRX,60.2816,60.2816,,
111657,Brand3,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Oral Market,Oral Market,Not Available,Class2,NBRX,1.676,,,
111663,Brand14,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Oral Market,Oral Market,Not Available,Class2,NBRX,52.7623,,,
111669,Brand7,2,PED,OTHERS,PHARMACY,2024-02-02,Indication7,Not Available,Not Available,Not Available,Class1,TRX,2830.6669,2830.6669,,
111682,Brand38,1,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Other Market,Other Market,Not Available,Class3,TRX,99.6408,99.6408,,
111928,Brand6,1,NP,OTHERS,PHARMACY,2024-02-02,Indication10,Not Available,Not Available,Not Available,Class3,TRX,12.4236,12.4236,,14.58667022
111935,Brand14,1,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Oral Market,Oral Market,Not Available,Class2,MOTRX,768.1987,768.1987,,
111941,Brand30,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Other Market,Other Market,Not Available,Class4,TRX,196.6311,,,
112004,Brand20,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class1,TRX,1.035,1.035,,
112123,Brand13,2,PED,OTHERS,PHARMACY,2024-02-02,Indication7,Not Available,Not Available,Not Available,Class1,NBRX,0.9893,0.9893,,
112209,Brand4,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class1,TRX,5012.7712,,,
112217,Brand14,1,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Oral Market,Oral Market,Not Available,Class2,MOTRX,4.8972,4.8972,,
112574,Brand18,2,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Not Available,Not Available,Not Available,Class1,MOTRX,29.4186,29.4186,,
112590,Brand14,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class2,NBRX,0.0,,,
112645,Brand2,1,PED,OTHERS,PHARMACY,2024-02-02,Indication7,Other Market,Not Available,Not Available,Class1,MOTRX,7.2868,7.2868,,
112674,Brand22,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Other Market,Other Market,Not Available,Class4,NBRX,5.8823,,,
112741,Brand31,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class4,TRX,85.7759,85.7759,,
112789,Brand5,1,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Other Market,Other Market,Not Available,Class3,MOTRX,137.5156,137.5156,,
112866,Brand7,2,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Not Available,Not Available,Not Available,Class1,MOTRX,3927.2809,,,
112899,Brand29,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Other Market,Other Market,Not Available,Class4,MOTRX,970.3805,,,
112958,Brand2,1,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Other Market,Not Available,Not Available,Class1,MOTRX,7560.3684,7560.3684,,
112982,Brand12,2,NP,OTHERS,PHARMACY,2024-02-02,Indication1,IV Market,Not Available,Not Available,Class1,TRX,2.4579,,,
113005,Brand3,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class2,TRX,1360.7116,,,
113066,Brand3,2,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Not Available,Not Available,Not Available,Class2,MOTRX,363.7934,363.7934,,
113071,Brand11,2,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Not Available,Not Available,Not Available,Class1,MOTRX,16.6334,,,
113080,Brand7,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class1,NBRX,22.6585,22.6585,,
113096,Brand15,2,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Other Market,Other Market,Not Available,Class3,MOTRX,38.4623,,43.59673665,45.12803924
113098,Brand15,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Other Market,Other Market,Not Available,Class3,MOTRX,4228.4796,4228.4796,4792.9508,4961.299592
113151,Brand3,2,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Not Available,Not Available,Not Available,Class2,NBRX,49.7634,,,
113297,Brand11,2,PED,OTHERS,PHARMACY,2024-02-02,Indication4,Not Available,Not Available,Not Available,Class1,TRX,67.2717,67.2717,,
113310,Brand14,2,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Not Available,Not Available,Not Available,Class2,TRX,122.0057,122.0057,,
113338,Brand30,1,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Other Market,Other Market,Not Available,Class4,MOTRX,512.0333,512.0333,,
113427,Brand4,2,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Not Available,Not Available,Not Available,Class1,TRX,598.1549,598.1549,,
113492,Brand6,1,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Not Available,Not Available,Not Available,Class3,NBRX,2.0394,,,2.419207008
113531,Brand29,1,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Other Market,Other Market,Not Available,Class4,TRX,1419.0882,1419.0882,,
113575,Brand3,1,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Oral Market,Oral Market,Not Available,Class2,TRX,320.4957,320.4957,,
113607,Brand3,1,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Oral Market,Oral Market,Not Available,Class2,NBRX,7.616,7.616,,
113643,Brand23,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,IV Market,IV Market,Not Available,Class1,MOTRX,26.2228,,,
113673,Brand36,2,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Not Available,Not Available,Not Available,Class2,NBRX,49.694,49.694,,
113749,Brand6,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class3,NBRX,1.4086,,,1.670930172
113775,Brand19,2,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Other Market,Other Market,Not Available,Class1,MOTRX,2.9866,,,
113779,Brand4,2,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Not Available,Not Available,Not Available,Class1,MOTRX,11.3694,,,
113798,Brand38,2,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Not Available,Not Available,Not Available,Class3,MOTRX,142.3497,142.3497,,
113833,Brand24,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class2,MOTRX,,559.5405,,
113927,Brand11,2,NP,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class1,TRX,60.2815,,,
113977,Brand7,2,PED,OTHERS,PHARMACY,2024-02-02,Indication7,Not Available,Not Available,Not Available,Class1,NBRX,2.2712,2.2712,,
114045,Brand21,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class1,NBRX,3.2514,,,
114241,Brand7,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class1,MOTRX,44.8919,44.8919,,
114356,Brand24,1,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Oral Market,Oral Market,Not Available,Class2,TRX,5662.996,5662.996,,
114363,Brand24,1,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Oral Market,Oral Market,Not Available,Class2,NBRX,1.0006,1.0006,,
114479,Brand11,1,OTHERS,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,450.894,,
114494,Brand7,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class1,NBRX,64.414,64.414,,
114504,Brand2,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Other Market,Not Available,Not Available,Class1,MOTRX,11579.2036,,,
114617,Brand20,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class1,NBRX,0.0,0.0,,
114618,Brand20,2,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Not Available,Not Available,Not Available,Class1,NBRX,2.5303,2.5303,,
114641,Brand15,2,NP,OTHERS,PHARMACY,2024-02-02,Indication9,Other Market,Other Market,Not Available,Class3,MOTRX,3.1337,3.1337,3.552026105,3.67678835
114652,Brand25,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class1,MOTRX,37.7041,,,
114745,Brand22,1,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Other Market,Other Market,Not Available,Class4,NBRX,308.491,308.491,,
114825,Brand8,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class1,TRX,13.7308,,,
114905,Brand23,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,IV Market,IV Market,Not Available,Class1,MOTRX,2.0839,,,
114965,Brand2,1,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Other Market,Not Available,Not Available,Class1,MOTRX,36.9343,,,
114979,Brand14,1,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Oral Market,Oral Market,Not Available,Class2,TRX,38.5468,38.5468,,
115000,Brand2,1,PED,OTHERS,PHARMACY,2024-02-02,Indication7,Other Market,Not Available,Not Available,Class1,TRX,7.2868,7.2868,,
115002,Brand24,2,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Not Available,Not Available,Not Available,Class2,MOTRX,,10.1356,,
115044,Brand7,2,NP,OTHERS,PHARMACY,2024-02-02,Indication10,Not Available,Not Available,Not Available,Class1,MOTRX,32.8686,32.8686,,
115047,Brand31,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class4,NBRX,9.0998,9.0998,,
115201,Brand10,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class1,MOTRX,22.2646,,,
115241,Brand7,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class1,NBRX,555.3897,,,
115269,Brand36,2,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Not Available,Not Available,Not Available,Class2,TRX,251.6336,251.6336,,
115313,Brand10,1,NP,OTHERS,PHARMACY,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class1,NBRX,0.0,0.0,,
115356,Brand33,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class1,TRX,9.1567,,,
115396,Brand23,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,325.8934,,
115440,Brand33,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class1,MOTRX,9.1567,,,
115474,Brand11,2,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Not Available,Not Available,Not Available,Class1,NBRX,23.0024,23.0024,,
115481,Brand15,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Other Market,Other Market,Not Available,Class3,NBRX,13.6879,13.6879,15.77496232,16.23706173
115569,Brand2,1,PED,OTHERS,PHARMACY,2024-02-02,Indication7,Other Market,Not Available,Not Available,Class1,NBRX,170.6012,170.6012,,
115765,Brand4,1,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Other Market,Other Market,Not Available,Class1,NBRX,12.0196,,,
115795,Brand22,1,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Other Market,Other Market,Not Available,Class4,MOTRX,5344.3963,5344.3963,,
115816,Brand3,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class2,NBRX,7.616,,,
115935,Brand4,2,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Not Available,Not Available,Not Available,Class1,TRX,81.833,81.833,,
